Designator,Mid X,Mid Y,Rotation,Layer
C1_9,237.26,-84.573,0.0,bottom
C1_8,213.26,-84.573,0.0,bottom
C1_7,165.26,-84.573,0.0,bottom
C1_6,189.26,-84.573,0.0,bottom
C1_5,117.26,-84.573,0.0,bottom
C1_4,93.26,-84.573,0.0,bottom
C1_3,45.26,-84.573,0.0,bottom
C1_2,141.26,-84.573,0.0,bottom
C1,69.26,-84.573,0.0,bottom
CUT1_9,160.0,-90.0,0.0,top
CUT1_8,112.0,-90.0,0.0,top
CUT1_7,64.0,-90.0,0.0,top
CUT1_6,136.0,-90.0,0.0,top
CUT1_5,208.0,-90.0,0.0,top
CUT1_4,184.0,-90.0,0.0,top
CUT1_3,40.0,-90.0,0.0,top
CUT1_2,88.0,-90.0,0.0,top
CUT1,232.0,-90.0,0.0,top
CUT2_9,85.52,-90.0,0.0,top
CUT2_8,253.52,-90.0,0.0,top
CUT2_7,109.52,-90.0,0.0,top
CUT2_6,229.52,-90.0,0.0,top
CUT2_5,133.52,-90.0,0.0,top
CUT2_4,205.52,-90.0,0.0,top
CUT2_3,157.52,-90.0,0.0,top
CUT2_2,61.52,-90.0,0.0,top
CUT2,181.52,-90.0,0.0,top
D1_9,218.96,-66.59,0.0,bottom
D1_8,98.96,-66.59,0.0,bottom
D1_7,122.96,-66.59,0.0,bottom
D1_6,194.96,-66.59,0.0,bottom
D1_5,170.96,-66.59,0.0,bottom
D1_4,74.96,-66.59,0.0,bottom
D1_3,146.96,-66.59,0.0,bottom
D1_2,242.96,-66.59,0.0,bottom
D1,50.96,-66.59,0.0,bottom
D2_9,242.76,-85.99,270.0,bottom
D2_8,50.76,-85.99,270.0,bottom
D2_7,122.76,-85.99,270.0,bottom
D2_6,74.76,-85.99,270.0,bottom
D2_5,170.76,-85.99,270.0,bottom
D2_4,194.76,-85.99,270.0,bottom
D2_3,146.76,-85.99,270.0,bottom
D2_2,218.76,-85.99,270.0,bottom
D2,98.76,-85.99,270.0,bottom
D3_9,218.864,-104.59,0.0,bottom
D3_8,98.864,-104.59,0.0,bottom
D3_7,194.864,-104.59,0.0,bottom
D3_6,122.864,-104.59,0.0,bottom
D3_5,74.864,-104.59,0.0,bottom
D3_4,50.864,-104.59,0.0,bottom
D3_3,170.864,-104.59,0.0,bottom
D3_2,242.864,-104.59,0.0,bottom
D3,146.864,-104.59,0.0,bottom
D4_9,122.864,-123.59,0.0,bottom
D4_8,242.864,-123.59,0.0,bottom
D4_7,98.864,-123.59,0.0,bottom
D4_6,146.864,-123.59,0.0,bottom
D4_5,170.864,-123.59,0.0,bottom
D4_4,50.864,-123.59,0.0,bottom
D4_3,74.864,-123.59,0.0,bottom
D4_2,194.864,-123.59,0.0,bottom
D4,218.864,-123.59,0.0,bottom
D5_9,66.26,-62.49,90.0,bottom
