Designator,Mid X,Mid Y,Rotation,Layer
D1_9,172.3,-91.4,180.0,bottom
D1_8,134.3,-91.4,180.0,bottom
D1_7,39.3,-91.4,180.0,bottom
D1_6,191.3,-91.4,180.0,bottom
D1_5,115.3,-91.4,180.0,bottom
D1_4,77.3,-91.4,180.0,bottom
D1_3,153.3,-91.4,180.0,bottom
D1_2,96.3,-91.4,180.0,bottom
D1,58.3,-91.4,180.0,bottom
D2_9,77.3,-72.4,180.0,bottom
D2_8,172.3,-72.4,180.0,bottom
D2_7,134.3,-72.4,180.0,bottom
D2_6,191.3,-72.4,180.0,bottom
D2_5,115.3,-72.4,180.0,bottom
D2_4,96.3,-72.4,180.0,bottom
D2_3,39.3,-72.4,180.0,bottom
D2_2,153.3,-72.4,180.0,bottom
D2,58.3,-72.4,180.0,bottom
D3_9,77.396,-53.4,180.0,bottom
D3_8,172.396,-53.4,180.0,bottom
D3_7,58.396,-53.4,180.0,bottom
D3_6,134.396,-53.4,180.0,bottom
D3_5,191.396,-53.4,180.0,bottom
D3_4,115.396,-53.4,180.0,bottom
D3_3,96.396,-53.4,180.0,bottom
D3_2,153.396,-53.4,180.0,bottom
D3,39.396,-53.4,180.0,bottom
D4_9,115.396,-34.4,180.0,bottom
D4_8,77.396,-34.4,180.0,bottom
D4_7,39.396,-34.4,180.0,bottom
D4_6,134.396,-34.4,180.0,bottom
D4_5,172.396,-34.4,180.0,bottom
D4_4,153.396,-34.4,180.0,bottom
D4_3,58.396,-34.4,180.0,bottom
D4_2,191.396,-34.4,180.0,bottom
D4,96.396,-34.4,180.0,bottom
D5_9,86.0,-95.5,270.0,bottom
D5_8,181.0,-95.5,270.0,bottom
D5_7,143.0,-95.5,270.0,bottom
D5_6,200.0,-95.5,270.0,bottom
D5_5,67.0,-95.5,270.0,bottom
D5_4,105.0,-95.5,270.0,bottom
D5_3,48.0,-95.5,270.0,bottom
D5_2,124.0,-95.5,270.0,bottom
D5,162.0,-95.5,270.0,bottom
D6_9,162.0,-76.5,270.0,bottom
D6_8,181.0,-76.5,270.0,bottom
D6_7,143.0,-76.5,270.0,bottom
D6_6,124.0,-76.5,270.0,bottom
D6_5,67.0,-76.5,270.0,bottom
D6_4,200.0,-76.5,270.0,bottom
D6_3,105.0,-76.5,270.0,bottom
D6_2,86.0,-76.5,270.0,bottom
D6,48.0,-76.5,270.0,bottom
D7_9,199.3,-58.3,180.0,bottom
D7_8,180.3,-58.3,180.0,bottom
D7_7,85.3,-58.3,180.0,bottom
D7_6,161.3,-58.3,180.0,bottom
D7_5,66.3,-58.3,180.0,bottom
D7_4,123.3,-58.3,180.0,bottom
D7_3,142.3,-58.3,180.0,bottom
D7_2,47.3,-58.3,180.0,bottom
D7,104.3,-58.3,180.0,bottom
D8_9,200.0,-38.5,270.0,bottom
D8_8,105.0,-38.5,270.0,bottom
D8_7,67.0,-38.5,270.0,bottom
D8_6,48.0,-38.5,270.0,bottom
D8_5,181.0,-38.5,270.0,bottom
D8_4,86.0,-38.5,270.0,bottom
D8_3,162.0,-38.5,270.0,bottom
D8_2,124.0,-38.5,270.0,bottom
D8,143.0,-38.5,270.0,bottom
R2_9,196.5,-34.0,180.0,bottom
R2_8,44.5,-34.0,180.0,bottom
R2_7,158.5,-34.0,180.0,bottom
R2_6,177.5,-34.0,180.0,bottom
R2_5,120.5,-34.0,180.0,bottom
R2_4,101.5,-34.0,180.0,bottom
R2_3,82.5,-34.0,180.0,bottom
R2_2,139.5,-34.0,180.0,bottom
R2,63.5,-34.0,180.0,bottom
SW1_9,59.1,-100.3125,0.0,bottom
SW1_8,154.1,-100.3125,0.0,bottom
SW1_7,135.1,-100.3125,0.0,bottom
SW1_6,78.1,-100.3125,0.0,bottom
SW1_5,97.1,-100.3125,0.0,bottom
SW1_4,173.1,-100.3125,0.0,bottom
SW1_3,40.1,-100.3125,0.0,bottom
SW1_2,116.1,-100.3125,0.0,bottom
SW1,192.1,-100.3125,0.0,bottom
SW2_9,116.1,-81.3125,0.0,bottom
SW2_8,78.1,-81.3125,0.0,bottom
SW2_7,173.1,-81.3125,0.0,bottom
SW2_6,40.1,-81.3125,0.0,bottom
SW2_5,135.1,-81.3125,0.0,bottom
SW2_4,97.1,-81.3125,0.0,bottom
SW2_3,154.1,-81.3125,0.0,bottom
SW2_2,59.1,-81.3125,0.0,bottom
SW2,192.1,-81.3125,0.0,bottom
SW3_9,40.02,-62.3125,0.0,bottom
SW3_8,59.02,-62.3125,0.0,bottom
SW3_7,154.02,-62.3125,0.0,bottom
SW3_6,97.02,-62.3125,0.0,bottom
SW3_5,173.02,-62.3125,0.0,bottom
SW3_4,135.02,-62.3125,0.0,bottom
SW3_3,78.02,-62.3125,0.0,bottom
SW3_2,116.02,-62.3125,0.0,bottom
SW3,192.02,-62.3125,0.0,bottom
SW4_9,78.02,-43.3125,0.0,bottom
SW4_8,59.02,-43.3125,0.0,bottom
SW4_7,192.02,-43.3125,0.0,bottom
SW4_6,116.02,-43.3125,0.0,bottom
SW4_5,173.02,-43.3125,0.0,bottom
SW4_4,40.02,-43.3125,0.0,bottom
SW4_3,154.02,-43.3125,0.0,bottom
SW4_2,135.02,-43.3125,0.0,bottom
SW4,97.02,-43.3125,0.0,bottom
